camis,dba,boro,bin,bbl,cuisine_description
30075445,Test test Test test Test test Test test Test test Test test Test test Test test Test test,Bronx,2045445,2041270037,Bakery Products/Desserts
30112340,WENDY'S,Brooklyn,3029737,3011970017,Hamburgers
30191841,DJ REYNOLDS PUB AND RESTAURANT,Manhattan,1026048,1010480008,Irish
40356018,RIVIERA CATERERS,Brooklyn,3347399,3069970098,American
40356483,WILKEN'S FINE FOOD,Brooklyn,3237693,3084310041,Sandwiches
40356731,TASTE THE TROPICS ICE CREAM,Brooklyn,3112318,3049640001,Frozen Desserts
40357217,WILD ASIA,Bronx,2116700,2031200020,American
40359480,1 EAST 66TH STREET KITCHEN,Manhattan,1041159,1013810001,American
40359705,NATHAN'S FAMOUS,Brooklyn,3189660,3070740340,Hotdogs
40360045,SEUDA FOODS,Brooklyn,3177501,3066640028,Jewish/Kosher
40360076,CARVEL,Brooklyn,3124566,3053350041,Frozen Desserts
40361618,SAL'S DELI,Queens,4099345,4041740023,Sandwiches
40361998,STEVE CHU'S DELI & GROCERY,Queens,4003862,4003240031,Sandwiches
40362264,P & S DELI GROCERY,Manhattan,1082743,1012260029,American
40362274,ANGELIKA FILM CENTER,Manhattan,1008240,1005230048,American
40362432,HO MEI RESTAURANT,Queens,4043399,4017450030,Chinese
40362869,SHASHEMENE INT'L RESTAURANT,Brooklyn,3103101,3047040001,Caribbean
40363298,CAFE METRO,Manhattan,1083268,1010320029,American
40363427,BAGELS N BUNS,Staten Island,5000000,5004860001,Sandwiches
40363565,HOT BAGELS,Queens,4437624,4030690069,Bagels/Pretzels
40363834,CARVEL,Staten Island,5047319,5032270002,Frozen Desserts
40363920,NEW GOLDEN BILLION,Brooklyn,3099886,3046110006,Chinese
40364179,SPOONBREAD TOO,Manhattan,1055741,1018450003,Soul Food
40364220,KOSHER BAGEL HOLE,Brooklyn,3179615,3067070043,Jewish/Kosher
40364296,HAPPY GARDEN,Bronx,2016817,2032930106,Chinese
40364305,PHILADELPHIA GRILLE EXPRESS,Brooklyn,3156122,3061370045,Pizza
40364335,PETER LUGER STEAKHOUSE,Brooklyn,3335296,3021320021,Steakhouse
40364347,METROPOLITAN CLUB,Manhattan,1081206,1013750001,American
40364362,21 CLUB,Manhattan,1034519,1012680023,American
40364373,ISLE OF CAPRI RESTURANT,Manhattan,1041931,1013950040,Italian
40364389,OLD TOWN BAR & RESTAURANT,Manhattan,1016150,1008470034,American
40364404,POLISH NATIONAL HOME,Brooklyn,3338042,3026980020,Polish
40364439,SEVILLA RESTAURANT,Manhattan,1010824,1006110009,Latin American
40364443,CRIMINAL COURT BLDG CAFETERIA,Manhattan,1079000,1001670001,American
40364449,GOTTSCHEER HALL,Queens,4083396,4034850001,German
40364467,NYAC MAIN DINING ROOM,Manhattan,1023750,1010110001,American
40364518,7B BAR,Manhattan,1005094,1004020034,American
40364572,DONOHUE'S STEAK HOUSE,Manhattan,1042358,1013990022,Steakhouse
40364581,JUNIOR'S,Brooklyn,3000369,3001490060,American
40364668,MARCHIS RESTAURANT,Manhattan,1081628,1009120026,Italian
40364691,THE GEORGIAN SUITE KITCHEN,Manhattan,1041816,1013920001,Continental
40364715,OLD HOMESTEAD,Manhattan,1013042,1007380080,American
40364744,NEW PARK PIZZERIA & RESTAURANT,Queens,4294806,4141480033,Pizza
40364858,DOUGLASTON CLUB,Queens,4168135,4080310001,American
